,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temperature,Wind Speed
0,hilo,90,US,1612411136,57,19.7297,-155.09,78.8,9.22
1,busselton,0,AU,1612411136,42,-33.65,115.3333,73.0,3.0
2,seoul,0,KR,1612411136,26,37.5683,126.9778,28.4,2.3
3,yar-sale,98,RU,1612411136,91,66.8333,70.8333,-6.72,10.63
4,korla,0,CN,1612411136,75,41.7597,86.1469,33.26,3.58
5,castro,100,BR,1612411087,91,-24.7911,-50.0119,68.31,2.46
6,iqaluit,90,CA,1612411028,77,63.7506,-68.5145,-4.0,2.3
7,richards bay,100,ZA,1612411007,90,-28.783,32.0377,74.08,5.12
8,cidreira,100,BR,1612411137,92,-30.1811,-50.2056,76.08,7.49
9,saint-philippe,0,RE,1612411137,61,-21.3585,55.7679,82.99,4.61
10,cape town,20,ZA,1612410842,82,-33.9258,18.4232,68.0,14.97
11,khatanga,24,RU,1612411137,85,71.9667,102.5,-23.19,12.59
12,bengkulu,81,ID,1612410978,63,-3.8004,102.2655,85.42,6.64
13,srednekolymsk,31,RU,1612411138,88,67.45,153.6833,-14.13,4.79
14,kodiak,1,US,1612411095,80,57.79,-152.4072,32.0,6.91
15,jamestown,1,US,1612410932,86,42.097,-79.2353,23.0,16.11
16,mataura,0,NZ,1612411138,38,-46.1927,168.8643,64.33,8.48
17,rocha,100,UY,1612410986,94,-34.4833,-54.3333,66.02,7.05
18,esperance,90,AU,1612411139,42,-33.8667,121.9,64.4,17.27
19,dingle,78,PH,1612410974,77,10.9995,122.6711,82.09,15.84
20,yellowknife,90,CA,1612410973,69,62.456,-114.3525,-18.0,9.22
21,rikitea,0,PF,1612410961,71,-23.1203,-134.9692,78.06,12.66
22,totness,69,SR,1612411139,88,5.8833,-56.3167,76.96,13.02
23,vila franca do campo,20,PT,1612410988,71,37.7167,-25.4333,50.0,5.75
24,poum,16,NC,1612411139,81,-20.2333,164.0167,80.28,17.81
25,bubaque,77,GW,1612411139,64,11.2833,-15.8333,77.67,8.95
26,kijang,0,KR,1612411139,23,35.2442,129.2139,44.6,11.5
27,port alfred,46,ZA,1612411140,91,-33.5906,26.891,69.01,1.99
28,hithadhoo,64,MV,1612410955,71,-0.6,73.0833,83.14,8.05
29,vanimo,100,PG,1612411140,70,-2.6741,141.3028,83.03,3.76
30,jerez,0,GT,1612411140,87,14.1,-89.75,56.79,4.63
31,ushuaia,75,AR,1612411065,87,-54.8,-68.3,48.2,6.91
32,plainview,45,US,1612411140,72,40.7765,-73.4673,33.01,1.99
33,wahpeton,90,US,1612411140,93,46.2652,-96.6059,26.6,3.44
34,pisco,0,PE,1612410952,78,-13.7,-76.2167,71.6,6.91
35,presidencia roque saenz pena,31,AR,1612410995,97,-26.7852,-60.4388,69.01,1.99
36,luganville,100,VU,1612411141,68,-15.5333,167.1667,85.01,2.82
37,touros,0,BR,1612411141,83,-5.1989,-35.4608,77.0,6.91
38,mogadishu,36,SO,1612411141,83,2.0371,45.3438,75.7,17.4
39,hobart,40,AU,1612410869,53,-42.8794,147.3294,78.01,8.05
40,port elizabeth,0,ZA,1612410931,94,-33.918,25.5701,66.2,6.91
41,qaanaaq,0,GL,1612410927,63,77.484,-69.3632,-22.4,4.47
42,butaritari,67,KI,1612411142,83,3.0707,172.7902,81.52,15.97
43,boca do acre,92,BR,1612411142,94,-8.7522,-67.3978,74.55,0.98
44,chokurdakh,99,RU,1612411142,90,70.6333,147.9167,-2.65,15.37
45,pacific grove,20,US,1612411058,76,36.6177,-121.9166,53.01,6.82
46,cherepovets,90,RU,1612411142,93,59.1333,37.9,21.2,8.95
47,ahuimanu,86,US,1612411142,73,21.4447,-157.8378,73.4,5.06
48,wukari,67,NG,1612411142,19,7.85,9.7833,73.33,7.0
49,hasaki,20,JP,1612411142,30,35.7333,140.8333,53.6,18.41
50,longyearbyen,75,SJ,1612410971,68,78.2186,15.6401,23.0,13.8
51,norman wells,75,CA,1612411143,74,65.282,-126.8329,-38.2,5.75
52,kloulklubed,75,PW,1612410978,74,7.0419,134.2556,86.0,12.66
53,saldanha,10,ZA,1612411143,88,-33.0117,17.9442,62.6,9.22
54,hami,54,CN,1612411143,70,42.8,93.45,34.7,4.45
55,mstera,100,RU,1612411143,98,56.3789,41.92,26.92,7.16
56,arraial do cabo,0,BR,1612410990,88,-22.9661,-42.0278,76.15,22.35
57,kaeo,34,NZ,1612410991,64,-35.1,173.7833,71.74,7.47
58,kapit,100,MY,1612411144,69,2.0167,112.9333,84.6,1.16
59,santarem,20,BR,1612411144,94,-2.4431,-54.7083,75.2,4.16
60,bluff,0,NZ,1612411144,61,-46.6,168.3333,57.09,24.05
61,punta arenas,0,CL,1612411144,82,-53.15,-70.9167,55.4,12.66
62,bilibino,47,RU,1612410969,73,68.0546,166.4372,-9.87,9.78
63,provideniya,76,RU,1612410936,81,64.3833,-173.3,-8.63,15.43
64,vaini,75,TO,1612411145,79,-21.2,-175.2,84.2,6.91
65,opuwo,76,NA,1612410958,41,-18.0607,13.84,68.07,3.58
66,sorland,92,NO,1612411145,79,67.667,12.6934,35.62,27.49
67,olafsvik,100,IS,1612411145,82,64.8945,-23.7142,35.89,30.6
68,tasiilaq,69,GL,1612410972,94,65.6145,-37.6368,17.49,11.59
69,koutiala,41,ML,1612411145,19,12.3917,-5.4642,69.53,6.35
70,te anau,5,NZ,1612411146,42,-45.4167,167.7167,68.81,1.21
71,east london,20,ZA,1612410958,88,-33.0153,27.9116,69.8,8.05
72,caravelas,45,BR,1612410959,87,-17.7125,-39.2481,75.13,5.41
73,albany,62,US,1612411122,61,42.6001,-73.9662,28.0,10.0
74,char bhadrasan,0,BD,1612411146,68,23.3167,90.2167,69.8,3.44
75,weinan,0,CN,1612411146,24,34.5036,109.5089,48.0,8.95
76,dobroye,100,RU,1612411146,84,52.8678,39.8109,33.01,7.7
77,northam,2,GB,1612411147,93,51.0333,-4.2167,41.0,3.0
78,fortuna,1,US,1612410988,93,40.5982,-124.1573,45.0,3.44
79,marathon,1,US,1612411147,63,44.9,-89.7668,27.0,9.22
80,wakkanai,75,JP,1612411147,73,45.4094,141.6739,14.0,19.57
81,apricena,0,IT,1612411147,87,41.7839,15.4437,50.0,5.75
82,fomboni,78,KM,1612411147,68,-12.28,43.7425,84.18,6.26
83,ponta do sol,21,PT,1612411148,68,32.6667,-17.1,53.01,1.99
84,banamba,0,ML,1612411148,19,13.55,-7.45,66.74,7.65
85,coihaique,0,CL,1612411148,68,-45.5752,-72.0662,66.2,6.91
86,swan river,78,CA,1612411148,73,52.1058,-101.2676,14.0,11.5
87,usinsk,98,RU,1612411148,93,65.9939,57.5281,-3.95,6.2
88,codrington,100,AU,1612411148,29,-38.2667,141.9667,82.85,13.96
89,puerto ayora,19,EC,1612410927,93,-0.7393,-90.3518,77.0,1.01
90,hay river,100,CA,1612411149,77,60.8156,-115.7999,-13.0,5.75
91,rio grande,100,BR,1612410963,96,-32.035,-52.0986,68.0,5.99
92,flin flon,100,CA,1612411149,91,54.7682,-101.865,-3.55,9.04
93,najran,0,SA,1612411149,43,17.4924,44.1277,53.6,2.42
94,basavana bagevadi,0,IN,1612411149,38,16.5833,75.9667,75.09,13.62
95,tuktoyaktuk,1,CA,1612410971,66,69.4541,-133.0374,-41.8,6.91
96,sept-iles,100,CA,1612411150,80,50.2001,-66.3821,27.0,9.22
97,banjar,20,ID,1612411150,70,-8.19,114.9675,86.0,9.22
98,bambous virieux,40,MU,1612410988,88,-20.3428,57.7575,82.99,6.91
99,xining,100,CN,1612411150,61,36.6167,101.7667,29.97,1.1
100,sao joao da barra,0,BR,1612411150,85,-21.6403,-41.0511,76.95,16.82
101,nikolskoye,75,RU,1612410959,85,59.7035,30.7861,14.0,20.13
102,atuona,5,PF,1612410965,67,-9.8,-139.0333,78.49,9.48
103,tura,0,IN,1612411151,38,25.5198,90.2201,75.36,0.43
104,vossevangen,0,NO,1612411151,85,60.623,6.4229,17.01,1.99
105,warkworth,19,NZ,1612411151,61,-36.4,174.6667,79.0,1.99
106,bethel,90,US,1612411151,64,41.3712,-73.414,30.2,9.22
107,lorengau,100,PG,1612411152,74,-2.0226,147.2712,83.17,7.94
108,talnakh,99,RU,1612411152,86,69.4865,88.3972,-18.78,3.91
109,tuatapere,0,NZ,1612411152,45,-46.1333,167.6833,66.85,9.78
110,brainerd,90,US,1612411152,80,46.358,-94.2008,30.2,10.36
111,belmonte,20,BR,1612411152,73,-15.8631,-38.8828,78.8,8.05
112,petropavlovsk-kamchatskiy,40,RU,1612411152,57,53.0452,158.6483,15.8,15.66
113,sinnamary,100,GF,1612411152,85,5.3833,-52.95,77.81,14.12
114,hambantota,90,LK,1612411152,83,6.1241,81.1185,78.8,12.66
115,severo-kurilsk,100,RU,1612411153,92,50.6789,156.125,10.99,31.43
116,anadyr,40,RU,1612410963,71,64.75,177.4833,-2.2,29.08
117,atikokan,100,CA,1612411153,97,48.7555,-91.6216,21.33,4.72
118,saryg-sep,100,RU,1612411153,94,51.5,95.6,16.92,1.95
119,bonavista,100,CA,1612411153,100,48.6499,-53.1147,42.8,5.75
120,ancud,0,CL,1612410970,88,-41.8697,-73.8203,57.99,5.75
121,zhanaozen,95,KZ,1612411154,72,43.3,52.8,40.19,6.58
122,kapaa,1,US,1612411154,53,22.0752,-159.319,73.4,9.22
123,hamilton,1,US,1612410933,86,39.1834,-84.5333,26.01,1.77
124,luena,99,AO,1612411154,92,-11.7833,19.9167,61.27,3.13
125,bredasdorp,69,ZA,1612411154,77,-34.5322,20.0403,64.4,2.3
126,tikaitnagar,25,IN,1612411154,47,26.95,81.5833,65.91,4.29
127,hofn,38,IS,1612411154,91,64.2539,-15.2082,32.11,14.25
128,yorosso,52,ML,1612411155,19,12.3536,-4.7761,69.67,5.23
129,saint-francois,0,FR,1612411155,93,46.4154,3.9054,37.99,2.3
130,berlevag,100,NO,1612411155,93,70.8578,29.0864,29.5,20.42
131,mackenzie,90,CA,1612411155,85,55.2999,-123.1698,10.4,5.75
132,alenquer,20,BR,1612411155,94,-1.9417,-54.7383,75.2,5.59
133,north bend,1,US,1612411001,100,43.4065,-124.2243,44.01,3.44
134,new norfolk,58,AU,1612410934,33,-42.7826,147.0587,78.01,1.99
135,santa rosa,20,PH,1612411156,61,14.3122,121.1114,88.0,6.91
136,bathsheba,40,BB,1612411156,69,13.2167,-59.5167,78.8,25.32
137,kuli,40,RU,1612411156,75,42.0185,47.2434,39.2,6.91
138,atlantic city,90,US,1612411156,69,39.3643,-74.4229,32.0,10.36
139,san jeronimo,100,PE,1612411156,71,-11.9472,-75.2829,51.67,1.88
140,chuy,98,UY,1612410973,93,-33.6971,-53.4616,67.71,16.24
141,victoria,0,HK,1612411156,35,22.2855,114.1577,75.2,10.36
142,labuhan,99,ID,1612411157,79,-6.8844,112.2051,82.83,17.76
143,gizo,99,SB,1612411157,88,-8.103,156.8419,79.59,17.47
144,mitu,88,CO,1612411157,97,1.1983,-70.1733,72.45,0.83
145,mar del plata,20,AR,1612411157,77,-38.0023,-57.5575,66.2,10.36
146,avarua,40,CK,1612411157,74,-21.2078,-159.775,82.4,8.05
147,kaabong,10,UG,1612411157,46,3.4836,34.1492,65.55,10.22
148,gat,49,IL,1612411157,28,31.61,34.7642,57.99,6.62
149,bereda,86,ES,1612411158,89,43.2686,-7.5406,46.99,7.0
150,barrow,20,US,1612411158,85,71.2906,-156.7887,-29.2,11.5
151,westlock,91,CA,1612411158,84,54.1502,-113.8688,-14.8,4.61
152,sirjan,0,IR,1612411158,48,29.452,55.6814,44.8,6.06
153,saint george,1,US,1612411122,35,37.1041,-113.5841,55.4,4.61
154,bandrele,0,YT,1612411158,83,-12.9067,45.1914,80.6,3.44
155,poronaysk,33,RU,1612411158,86,49.2167,143.1167,-10.12,4.5
156,torbay,90,CA,1612410962,100,47.6666,-52.7314,48.2,18.41
157,puerto leguizamo,67,CO,1612411035,94,-0.1934,-74.7819,72.79,1.41
158,chadan,100,RU,1612411159,90,51.2833,91.5833,9.81,3.06
159,hermanus,56,ZA,1612411159,93,-34.4187,19.2345,62.01,4.27
160,chimbote,99,PE,1612410889,78,-9.0853,-78.5783,69.42,4.36
161,palasbari,20,IN,1612411159,68,26.1361,91.5486,64.4,6.04
162,belyy yar,0,RU,1612411159,69,53.6039,91.3903,30.2,4.47
163,alyangula,90,AU,1612411159,66,-13.8483,136.4192,89.6,6.91
164,luderitz,0,NA,1612411160,70,-26.6481,15.1594,64.69,13.65
165,ribeira grande,98,PT,1612410987,63,38.5167,-28.7,55.11,30.91
166,codajas,87,BR,1612411160,96,-3.8367,-62.0569,74.82,0.49
167,darhan,51,MN,1612411160,89,49.4867,105.9228,18.97,7.47
168,columbus,1,US,1612410937,86,39.9612,-82.9988,21.2,3.44
169,san cristobal,83,VE,1612411160,68,7.7669,-72.225,67.03,1.54
170,karanja,4,IN,1612411142,20,20.4833,77.4833,73.33,7.05
171,manturovo,100,RU,1612411160,98,58.3353,44.7619,20.14,7.2
172,sao filipe,99,CV,1612411161,78,14.8961,-24.4956,72.12,8.08
173,esmeraldas,0,BR,1612411161,60,-19.7625,-44.3139,75.2,2.3
174,baykit,94,RU,1612411161,87,61.67,96.37,-5.69,1.25
175,aykhal,100,RU,1612411161,83,66.0,111.5,-23.15,4.16
176,klyuchi,100,RU,1612411161,99,52.2667,79.1667,30.56,10.29
177,quang ngai,34,VN,1612411161,79,15.1167,108.8,74.41,8.84
178,wuwei,79,CN,1612411161,55,37.9281,102.6414,35.24,2.59
179,maragogi,9,BR,1612411162,82,-9.0122,-35.2225,76.82,6.42
180,ola,49,RU,1612411162,85,59.5833,151.2833,3.24,16.73
181,laguna,90,US,1612411162,76,38.421,-121.4238,52.0,3.44
182,upernavik,0,GL,1612411162,70,72.7868,-56.1549,-15.41,4.56
183,kavieng,29,PG,1612411162,67,-2.5744,150.7967,84.43,6.71
184,klaksvik,100,FO,1612410948,69,62.2266,-6.589,30.2,9.22
185,axim,0,GH,1612411162,87,4.8699,-2.2405,78.84,5.79
186,nazca,100,PE,1612410897,68,-14.8333,-74.95,70.12,2.48
187,acapulco,20,MX,1612411002,78,16.8634,-99.8901,80.6,3.44
188,ati,29,TD,1612411163,23,13.2154,18.3353,68.31,14.34
189,pingliang,100,CN,1612411163,51,35.5392,106.6861,39.79,2.75
190,dikson,90,RU,1612410943,91,73.5069,80.5464,-14.24,11.3
191,georgetown,20,MY,1612411163,45,5.4112,100.3354,86.0,10.36
192,cabo san lucas,20,MX,1612411163,77,22.8909,-109.9124,68.0,3.87
193,ajdabiya,0,LY,1612411163,89,30.7554,20.2263,55.92,5.97
194,saskylakh,0,RU,1612411163,77,71.9167,114.0833,-38.47,5.77
195,warrington,75,GB,1612411164,93,53.3925,-2.5802,43.0,5.75
196,avera,1,US,1612411164,75,33.194,-82.5271,35.01,3.44
197,vao,14,NC,1612411164,87,-22.6667,167.4833,78.87,15.61
198,dalbandin,0,PK,1612411164,45,28.8947,64.4101,48.11,7.0
199,san ignacio,0,BZ,1612411164,88,17.1561,-89.0714,60.8,2.19
200,mahebourg,40,MU,1612411018,88,-20.4081,57.7,77.0,6.91
201,constitucion,0,CL,1612411164,59,-35.3333,-72.4167,64.33,8.86
202,udachnyy,98,RU,1612411165,84,66.4167,112.4,-21.96,5.12
203,bayir,0,TR,1612411165,100,37.2687,28.2167,44.6,4.61
204,victor harbor,100,AU,1612411023,83,-35.5667,138.6167,66.0,3.0
205,lebu,3,CL,1612410963,91,-37.6167,-73.65,57.61,14.41
206,hirado,40,JP,1612411165,81,33.3597,129.5531,55.99,5.75
207,pemberton,100,CA,1612410979,83,50.3164,-122.8027,33.01,2.15
208,rzhanitsa,90,RU,1612411165,100,53.4284,33.923,30.2,6.71
209,maldonado,90,UY,1612411166,100,-34.6667,-54.9167,69.01,13.8
210,along,54,IN,1612411166,34,28.1667,94.7667,68.0,0.74
211,cuiluan,4,CN,1612411166,81,47.72,128.648,-5.15,9.82
212,novo aripuana,89,BR,1612411166,96,-5.1206,-60.3797,75.13,0.56
213,thompson,90,CA,1612410959,77,55.7435,-97.8558,-4.0,16.11
214,kathu,20,TH,1612411166,61,7.9178,98.3332,86.0,16.11
215,shimoda,20,JP,1612411166,46,34.6667,138.95,50.0,24.16
216,kachiry,100,KZ,1612411167,94,53.0675,76.1036,15.06,5.66
217,aklavik,24,CA,1612410972,67,68.2191,-135.0107,-40.0,2.3
218,mucurapo,41,TT,1612411167,84,10.6667,-61.5333,79.0,11.95
219,tiksi,99,RU,1612411167,86,71.6872,128.8694,-24.9,2.26
220,isangel,57,VU,1612411167,69,-19.55,169.2667,83.01,12.1
221,pacifica,90,US,1612411167,87,37.6138,-122.4869,51.01,8.05
222,finschhafen,100,PG,1612411167,70,-6.6024,147.8681,85.86,8.68
223,houston,90,US,1612411102,88,29.7633,-95.3633,61.0,12.66
224,damietta,20,EG,1612411168,72,31.4165,31.8133,64.4,4.61
225,mioveni,98,RO,1612411168,79,44.9566,24.9378,43.0,4.36
226,saint-pierre,0,RE,1612410931,61,-21.3393,55.4781,82.4,4.61
227,nanortalik,68,GL,1612411168,80,60.1432,-45.2371,13.89,12.97
228,bandundu,100,CD,1612411168,93,-3.3167,17.3667,72.93,2.42
229,pushkino,90,RU,1612410874,86,56.0172,37.8667,28.4,8.95
230,san patricio,40,US,1612410971,88,28.017,-97.5169,66.0,17.27
231,nhulunbuy,90,AU,1612411168,94,-12.2333,136.7667,78.8,12.66
232,sorso,0,IT,1612411169,77,40.8,8.5772,57.2,6.91
233,priargunsk,92,RU,1612411169,87,50.3691,119.1012,-15.25,2.68
234,bageshwar,66,IN,1612411169,28,29.85,79.7667,60.35,1.14
235,hobyo,71,SO,1612411169,73,5.3505,48.5268,77.04,18.66
236,salalah,0,OM,1612410989,55,17.0151,54.0924,62.6,4.61
237,leningradskiy,11,RU,1612411169,85,69.3833,178.4167,-26.52,6.85
238,guerrero negro,84,MX,1612410983,77,27.9769,-114.0611,61.97,16.31
239,kampot,40,KH,1612411170,65,10.6167,104.1833,84.2,5.75
240,harper,9,LR,1612411170,88,4.375,-7.7169,78.17,6.76
241,mansa,80,IN,1612411170,65,29.9833,75.3833,59.81,6.91
242,souillac,40,MU,1612411170,88,-20.5167,57.5167,77.0,6.91
243,burdur,0,TR,1612411169,100,37.7203,30.2908,33.8,5.75
244,mana,95,GF,1612411170,86,5.6592,-53.7767,77.52,12.97
245,airai,100,TL,1612410976,100,-8.9266,125.4092,61.92,3.49
246,ambon,40,ID,1612411171,55,-3.6954,128.1814,91.4,11.5
247,ixtapa,1,MX,1612411012,88,20.7,-105.2,70.0,2.3
248,lac du bonnet,100,CA,1612411171,100,50.2536,-96.0612,26.01,5.99
249,dongkan,32,CN,1612411171,50,33.9997,119.8308,46.67,7.31
250,malabuyoc,40,PH,1612411171,70,9.6525,123.3252,84.2,9.22
251,tongzhou,0,CN,1612411171,19,39.9053,116.5994,41.0,2.24
252,heihe,0,CN,1612411172,38,50.2441,127.4902,-4.0,6.71
253,lavrentiya,0,RU,1612411172,82,65.5833,-171.0,-17.93,14.29
254,naze,75,JP,1612411172,55,28.3667,129.4833,62.6,8.05
255,amreli,3,IN,1612411172,40,21.6167,71.2333,72.09,6.62
256,benguela,4,AO,1612411172,80,-12.5763,13.4055,73.06,0.47
257,cap malheureux,5,MU,1612411172,73,-19.9842,57.6142,82.99,5.99
258,great yarmouth,40,GB,1612411172,93,52.6083,1.7305,37.99,3.44
259,peace river,40,CA,1612411173,77,56.2501,-117.286,-13.0,8.05
260,orlik,97,RU,1612411173,88,52.5178,99.825,19.09,14.23
261,porto novo,40,BJ,1612411173,84,6.4965,2.6036,84.2,8.05
262,nelson bay,0,AU,1612411173,54,-32.7167,152.15,82.99,12.66
263,ostrovnoy,100,RU,1612410994,94,68.0531,39.5131,10.35,11.43
264,buraydah,0,SA,1612411173,54,26.326,43.975,57.2,12.73
265,brake,100,DE,1612411173,100,53.3333,8.4833,34.0,4.0
266,los cedrales,75,PY,1612411174,100,-25.65,-54.7,75.2,2.3
267,kudahuvadhoo,96,MV,1612410945,79,2.6708,72.8944,81.63,15.86
268,talaya,100,RU,1612411174,84,61.3833,152.75,-18.44,9.26
269,gangapur,78,IN,1612411174,35,26.4833,76.7167,68.45,10.69
270,kuryk,92,KZ,1612411174,72,43.2,51.65,43.56,6.33
271,sibolga,7,ID,1612411018,55,1.7427,98.7792,88.66,2.17
272,shizuishan,4,CN,1612411174,50,39.2333,106.7694,37.33,2.89
273,zanjan,0,IR,1612411175,86,36.6736,48.4787,24.8,4.61
274,toluviejo,3,CO,1612411175,80,9.4508,-75.4386,75.43,9.08
275,vikindu,20,TZ,1612411175,94,-7.0067,39.2985,77.0,2.37
276,kibaha,20,TZ,1612411175,94,-6.7667,38.9167,77.0,2.15
